ticker,company_name,exchange,country,listing_status,primary_business_model,secondary_business_model,platform_type,has_marketplace,has_first_party_retail,has_subscription,has_payment_fintech,has_ads_business,peer_group,include_in_core_sample,include_reason,exclude_reason,notes
BABA,Alibaba Group Holding Ltd,NYSE,China,active,hybrid_retail_marketplace,cloud_fintech_ads,hybrid_platform,1,1,1,1,1,hybrid,0,NA,Foreign ADR and China-specific reporting environment,Keep in universe but exclude from US core first pass
JD,JD.com Inc,NASDAQ,China,active,hybrid_retail_marketplace,logistics_marketplace,hybrid_platform,1,1,0,1,1,hybrid,0,NA,Foreign ADR and China-specific operating model,Keep in universe but exclude from US core first pass
PDD,PDD Holdings Inc,NASDAQ,Ireland_China,active,marketplace,discount_crossborder_platform,marketplace,1,0,0,1,1,marketplace_platform,0,NA,Foreign ADR and fast-changing platform structure,Keep in universe but exclude from US core first pass
CPNG,Coupang Inc,NYSE,South Korea,active,hybrid_retail_marketplace,logistics_luxury,hybrid_platform,1,1,1,1,1,hybrid,0,NA,Non-US operating geography,Potential extended sample candidate
SE,Sea Ltd,NYSE,Singapore,active,hybrid_retail_marketplace,gaming_fintech,hybrid_platform,1,0,1,1,1,hybrid,0,NA,Highly diversified non-US platform,Keep as extended universe only
VIPS,Vipshop Holdings Ltd,NYSE,China,active,first_party_retail,discount_retail,first_party_retailer,0,1,0,0,0,inventory_led_ecommerce,0,NA,Foreign ADR and China-specific operating model,Keep as extended universe only
GRPN,Groupon Inc,NASDAQ,United States,active,service_commerce_platform,local_commerce,service_platform,1,0,0,1,1,marketplace_platform,1,Local-commerce marketplace and distress candidate,NA,Boundary platform economics retained for A3 coverage review
FTCH,Farfetch Ltd,NYSE,United Kingdom,delisted,marketplace,luxury_platform,marketplace,1,0,0,1,0,marketplace_platform,1,Historically US-listed luxury marketplace and distress case,NA,Foreign private issuer retained as a boundary and event candidate
POSH,Poshmark Inc,NASDAQ,United States,acquired,marketplace,consignment_resale,marketplace,1,0,0,1,0,marketplace_platform,1,Historically listed resale marketplace,NA,Acquired company retained for annual coverage audit
CARG,CarGurus Inc,NASDAQ,United States,active,online_auto_marketplace,digital_advertising,marketplace,1,0,0,0,1,marketplace_platform,1,Online automotive marketplace,NA,Dealer and transaction revenue mix requires A3 mapping review
CARS,Cars.com Inc,NYSE,United States,active,online_auto_marketplace,digital_solutions,marketplace,1,0,0,0,1,marketplace_platform,1,Online automotive marketplace,NA,Spin-off history requires prior-balance review
CVNA,Carvana Co,NYSE,United States,active,online_auto_retail,auto_finance,first_party_retailer,0,1,0,1,0,inventory_led_ecommerce,1,End-to-end online vehicle retailer and debt-event candidate,NA,Financing and securitization complicate comparability
TDUP,ThredUp Inc,NASDAQ,United States,active,resale_marketplace,consignment_resale,marketplace,1,1,0,0,0,marketplace_platform,1,Online resale and consignment platform,NA,Mixed inventory and consignment model
RENT,Rent the Runway Inc,NASDAQ,United States,active,fashion_rental_subscription,resale,first_party_retailer,0,1,1,0,0,dtc_brand,1,Digital fashion rental and subscription business,NA,Rental asset depreciation requires careful interpretation
WISH,ContextLogic Inc,NASDAQ,United States,delisted,marketplace,crossborder_marketplace,marketplace,1,0,0,0,1,marketplace_platform,1,Historically listed Wish marketplace and asset-exit case,NA,Operating assets sold in 2024
QVCGA,QVC Group Inc,NASDAQ,United States,bankrupt,video_and_online_retail,subscription,first_party_retailer,0,1,0,0,0,inventory_led_ecommerce,1,Large digital and video commerce retailer with 2026 Chapter 11 event,NA,Formerly QRTEA; QVCGA effective 2025-02-24 and delisting followed Chapter 11
APRN,Blue Apron Holdings Inc,NYSE,United States,acquired,meal_kit_ecommerce,subscription,first_party_retailer,0,1,1,0,0,inventory_led_ecommerce,1,Historically listed online meal-kit retailer and going-concern case,NA,Acquired in 2023
FIGS,FIGS Inc,NYSE,United States,active,dtc_apparel,healthcare_apparel,first_party_retailer,0,1,0,0,0,dtc_brand,1,Digital-first healthcare apparel brand,NA,Wholesale expansion should remain visible
WRBY,Warby Parker Inc,NYSE,United States,active,dtc_eyewear,physical_retail,first_party_retailer,0,1,0,0,0,dtc_brand,1,Digital-first eyewear brand,NA,Store expansion creates channel-mix comparability issue
BIRD,Allbirds Inc,NASDAQ,United States,active,dtc_footwear,physical_retail,first_party_retailer,0,1,0,0,0,dtc_brand,1,Digital-first footwear brand and distress candidate,NA,Recent asset-sale process retained for event feasibility
HNST,Honest Company Inc,NASDAQ,United States,active,dtc_consumer_products,wholesale,first_party_retailer,0,1,1,0,0,dtc_brand,1,Digital-first consumer products brand,NA,Wholesale channel is material
BARK,BARK Inc,NYSE,United States,active,dtc_pet_products,subscription,first_party_retailer,0,1,1,0,0,dtc_brand,1,Subscription-led pet products commerce,NA,SPAC listing history and subscription economics
LOVE,Lovesac Company,NASDAQ,United States,active,dtc_furniture,physical_showrooms,first_party_retailer,0,1,0,0,0,dtc_brand,1,Omnichannel DTC furniture brand,NA,Showrooms are material but direct commerce remains central
AKA,a.k.a. Brands Holding Corp,NYSE,United States,active,dtc_apparel_portfolio,marketplace_distribution,first_party_retailer,0,1,0,0,0,dtc_brand,1,Digital-native apparel brand portfolio,NA,Multiple brands and geographies require mapping review
PRPL,Purple Innovation Inc,NASDAQ,United States,active,dtc_home_goods,wholesale,first_party_retailer,0,1,0,0,0,dtc_brand,1,Direct-to-consumer mattress and home-goods brand,NA,Wholesale channel and ownership changes require review
SNBR,Sleep Number Corp,NASDAQ,United States,bankrupt,dtc_home_goods,physical_retail,first_party_retailer,0,1,0,0,0,dtc_brand,1,Direct branded mattress retailer with 2026 Chapter 11 event,NA,Physical stores are material but sales remain direct; delisting followed Chapter 11
GROV,Grove Collaborative Holdings Inc,NYSE,United States,active,dtc_consumer_products,third_party_marketplace,hybrid_platform,1,1,1,0,0,hybrid,1,Digital-first household-products retailer,NA,SPAC history and owned versus third-party brands
VRM,Vroom Inc,NASDAQ,United States,active,online_auto_retail,auto_finance,first_party_retailer,0,1,0,1,0,inventory_led_ecommerce,1,Historically online vehicle retailer and asset-exit case,NA,Ecommerce operations wound down in 2024
PTON,Peloton Interactive Inc,NASDAQ,United States,active,dtc_connected_fitness,subscription,first_party_retailer,0,1,1,0,0,dtc_brand,1,Direct connected-fitness hardware and subscription model,NA,Subscription and hardware mix creates a boundary case
BBBY,Bed Bath & Beyond Inc,NASDAQ,United States,bankrupt,omnichannel_home_retail,online_retail,first_party_retailer,0,1,0,0,0,inventory_led_ecommerce,1,Historically listed retailer with meaningful online commerce and Chapter 11 event,NA,Omnichannel boundary retained for distress coverage
BOXD,Boxed Inc,NYSE,United States,bankrupt,online_bulk_retail,software_services,first_party_retailer,0,1,1,0,0,inventory_led_ecommerce,1,Online bulk retailer and Chapter 11 event,NA,Short public history limits theoretical coverage
ME,23andMe Holding Co,NASDAQ,United States,bankrupt,dtc_genetic_testing,digital_health_subscription,first_party_retailer,0,1,1,0,0,dtc_brand,1,Digital direct-to-consumer testing and subscription company with Chapter 11 event,NA,Healthcare and data economics make this a boundary DTC case
SDC,SmileDirectClub Inc,NASDAQ,United States,bankrupt,dtc_dental_aligners,financing,first_party_retailer,0,1,0,1,0,dtc_brand,1,Digital direct-to-consumer dental platform and distress reference,NA,Healthcare financing and short public history require caution
