mart_name,grain,field_ordinal,field_name,data_type,description
q1_annual_company_metrics,one formal company x available fiscal year,55,dupont_validity_reason,VARCHAR,Dupont validity reason produced by q1_annual_company_metrics; inherited fields retain source-mart meaning.
q1_annual_company_metrics,one formal company x available fiscal year,56,metric_flag_count,BIGINT,Count of metric flag at the table grain.
q1_annual_company_metrics,one formal company x available fiscal year,57,unresolved_conflict_count,BIGINT,Count of unresolved conflict at the table grain.
q1_annual_company_metrics,one formal company x available fiscal year,58,quality_warning_count,BIGINT,Count of quality warning at the table grain.
q1_annual_company_metrics,one formal company x available fiscal year,59,quality_warnings,VARCHAR,Semicolon-delimited automated metric and comparability warnings.
q1_annual_company_metrics,one formal company x available fiscal year,60,source_selection_method,VARCHAR,Deterministic latest-valid or derived-component selection method.
q1_annual_company_metrics,one formal company x available fiscal year,61,source_selection_note,VARCHAR,Human-readable explanation of the source/version choice.
q1_dupont_contributions,one formal company x consecutive annual transition ending year,1,company_id,VARCHAR,Stable issuer identifier used for every join and window partition.
q1_dupont_contributions,one formal company x consecutive annual transition ending year,2,ticker,VARCHAR,Display ticker for the selected issuer and period.
q1_dupont_contributions,one formal company x consecutive annual transition ending year,3,company_name,VARCHAR,Issuer display name from the frozen formal sample.
q1_dupont_contributions,one formal company x consecutive annual transition ending year,4,formal_peer_group,VARCHAR,Gate1-v1.0 peer group used for descriptive benchmarks.
q1_dupont_contributions,one formal company x consecutive annual transition ending year,5,fiscal_year,BIGINT,Issuer fiscal year assigned by the verified annual period map.
q1_dupont_contributions,one formal company x consecutive annual transition ending year,6,prior_fiscal_year,BIGINT,Prior consecutive fiscal-year fiscal year.
q1_dupont_contributions,one formal company x consecutive annual transition ending year,7,net_margin,DOUBLE,Net income divided by revenue with zero-denominator protection.
q1_dupont_contributions,one formal company x consecutive annual transition ending year,8,asset_turnover,DOUBLE,Revenue divided by average assets with zero-denominator protection.
q1_dupont_contributions,one formal company x consecutive annual transition ending year,9,equity_multiplier,DOUBLE,Average assets divided by positive average equity.
q1_dupont_contributions,one formal company x consecutive annual transition ending year,10,roe,DOUBLE,Net income divided by positive average equity; otherwise null.
q1_dupont_contributions,one formal company x consecutive annual transition ending year,11,average_equity,DOUBLE,Mean of consecutive prior and current fiscal-year-end total equity.
q1_dupont_contributions,one formal company x consecutive annual transition ending year,12,dupont_valid_flag,BOOLEAN,Boolean indicator for dupont valid.
q1_dupont_contributions,one formal company x consecutive annual transition ending year,13,observed_prior_fiscal_year,BIGINT,Observed prior fiscal year produced by q1_dupont_contributions; inherited fields retain source-mart meaning.
q1_dupont_contributions,one formal company x consecutive annual transition ending year,14,prior_net_margin,DOUBLE,Prior consecutive fiscal-year net margin.
q1_dupont_contributions,one formal company x consecutive annual transition ending year,15,prior_asset_turnover,DOUBLE,Prior consecutive fiscal-year asset turnover.
q1_dupont_contributions,one formal company x consecutive annual transition ending year,16,prior_equity_multiplier,DOUBLE,Prior consecutive fiscal-year equity multiplier.
q1_dupont_contributions,one formal company x consecutive annual transition ending year,17,prior_roe,DOUBLE,Prior consecutive fiscal-year roe.
q1_dupont_contributions,one formal company x consecutive annual transition ending year,18,prior_average_equity,DOUBLE,Prior consecutive fiscal-year average equity.
q1_dupont_contributions,one formal company x consecutive annual transition ending year,19,prior_dupont_valid_flag,BOOLEAN,Prior consecutive fiscal-year dupont valid flag.
q1_dupont_contributions,one formal company x consecutive annual transition ending year,20,transition_valid_flag,BOOLEAN,Boolean indicator for transition valid.
q1_dupont_contributions,one formal company x consecutive annual transition ending year,21,roe_change,DOUBLE,Current valid ROE minus prior consecutive-year valid ROE.
q1_dupont_contributions,one formal company x consecutive annual transition ending year,22,contribution_margin,DOUBLE,Exact Shapley contribution of the net-margin change to ROE change.
q1_dupont_contributions,one formal company x consecutive annual transition ending year,23,contribution_turnover,DOUBLE,Exact Shapley contribution of the asset-turnover change to ROE change.
q1_dupont_contributions,one formal company x consecutive annual transition ending year,24,contribution_multiplier,DOUBLE,Exact Shapley contribution of the equity-multiplier change to ROE change.
q1_dupont_contributions,one formal company x consecutive annual transition ending year,25,contribution_sum,DOUBLE,Sum of the three exact Shapley contributions.
q1_dupont_contributions,one formal company x consecutive annual transition ending year,26,dominant_driver,VARCHAR,"Largest absolute valid Shapley factor: margin, turnover, or multiplier."
q1_dupont_contributions,one formal company x consecutive annual transition ending year,27,h1_driver_group,VARCHAR,"Frozen leverage-driven, operating-driven, mixed, or unavailable classification."
q1_dupont_contributions,one formal company x consecutive annual transition ending year,28,leverage_contribution_share,DOUBLE,Positive multiplier contribution divided by all positive contributions.
q1_dupont_contributions,one formal company x consecutive annual transition ending year,29,shapley_reconciliation_gap,DOUBLE,ROE change minus the Shapley contribution sum.
q1_peer_summary,one formal peer group x fiscal year,1,formal_peer_group,VARCHAR,Gate1-v1.0 peer group used for descriptive benchmarks.
q1_peer_summary,one formal peer group x fiscal year,2,fiscal_year,BIGINT,Issuer fiscal year assigned by the verified annual period map.
q1_peer_summary,one formal peer group x fiscal year,3,company_count,BIGINT,Count of company at the table grain.
q1_peer_summary,one formal peer group x fiscal year,4,valid_roe_company_count,BIGINT,Count of valid roe company at the table grain.
q1_peer_summary,one formal peer group x fiscal year,5,peer_median_roe,DOUBLE,Valid-observation peer-year median roe.
q1_peer_summary,one formal peer group x fiscal year,6,peer_q25_roe,DOUBLE,Valid-observation peer-year 25th percentile roe.
q1_peer_summary,one formal peer group x fiscal year,7,peer_q75_roe,DOUBLE,Valid-observation peer-year 75th percentile roe.
q1_peer_summary,one formal peer group x fiscal year,8,valid_net_margin_company_count,BIGINT,Count of valid net margin company at the table grain.
q1_peer_summary,one formal peer group x fiscal year,9,peer_median_net_margin,DOUBLE,Valid-observation peer-year median net margin.
q1_peer_summary,one formal peer group x fiscal year,10,peer_q25_net_margin,DOUBLE,Valid-observation peer-year 25th percentile net margin.
q1_peer_summary,one formal peer group x fiscal year,11,peer_q75_net_margin,DOUBLE,Valid-observation peer-year 75th percentile net margin.
q1_peer_summary,one formal peer group x fiscal year,12,valid_asset_turnover_company_count,BIGINT,Count of valid asset turnover company at the table grain.
q1_peer_summary,one formal peer group x fiscal year,13,peer_median_asset_turnover,DOUBLE,Valid-observation peer-year median asset turnover.
q1_peer_summary,one formal peer group x fiscal year,14,peer_q25_asset_turnover,DOUBLE,Valid-observation peer-year 25th percentile asset turnover.
q1_peer_summary,one formal peer group x fiscal year,15,peer_q75_asset_turnover,DOUBLE,Valid-observation peer-year 75th percentile asset turnover.
q1_peer_summary,one formal peer group x fiscal year,16,valid_equity_multiplier_company_count,BIGINT,Count of valid equity multiplier company at the table grain.
q1_peer_summary,one formal peer group x fiscal year,17,peer_median_equity_multiplier,DOUBLE,Valid-observation peer-year median equity multiplier.
q1_peer_summary,one formal peer group x fiscal year,18,peer_q25_equity_multiplier,DOUBLE,Valid-observation peer-year 25th percentile equity multiplier.
q1_peer_summary,one formal peer group x fiscal year,19,peer_q75_equity_multiplier,DOUBLE,Valid-observation peer-year 75th percentile equity multiplier.
q1_peer_summary,one formal peer group x fiscal year,20,valid_current_ratio_company_count,BIGINT,Count of valid current ratio company at the table grain.
q1_peer_summary,one formal peer group x fiscal year,21,peer_median_current_ratio,DOUBLE,Valid-observation peer-year median current ratio.
q1_peer_summary,one formal peer group x fiscal year,22,valid_total_debt_to_assets_company_count,BIGINT,Count of valid total debt to assets company at the table grain.
q1_peer_summary,one formal peer group x fiscal year,23,peer_median_total_debt_to_assets,DOUBLE,Valid-observation peer-year median total debt to assets.
q1_peer_summary,one formal peer group x fiscal year,24,valid_fcf_margin_company_count,BIGINT,Count of valid fcf margin company at the table grain.
q1_peer_summary,one formal peer group x fiscal year,25,peer_median_free_cash_flow_margin,DOUBLE,Valid-observation peer-year median free cash flow margin.
q1_company_vs_peer,one formal company x available fiscal year,1,company_id,VARCHAR,Stable issuer identifier used for every join and window partition.
q1_company_vs_peer,one formal company x available fiscal year,2,ticker,VARCHAR,Display ticker for the selected issuer and period.
q1_company_vs_peer,one formal company x available fiscal year,3,fiscal_year,BIGINT,Issuer fiscal year assigned by the verified annual period map.
q1_company_vs_peer,one formal company x available fiscal year,4,period_end_date,DATE,Fiscal-year end date of the selected annual facts.
q1_company_vs_peer,one formal company x available fiscal year,5,revenue,DOUBLE,Revenue produced by q1_company_vs_peer; inherited fields retain source-mart meaning.
q1_company_vs_peer,one formal company x available fiscal year,6,operating_income,DOUBLE,Operating income produced by q1_company_vs_peer; inherited fields retain source-mart meaning.
q1_company_vs_peer,one formal company x available fiscal year,7,net_income,DOUBLE,Net income produced by q1_company_vs_peer; inherited fields retain source-mart meaning.
q1_company_vs_peer,one formal company x available fiscal year,8,total_assets,DOUBLE,Total assets produced by q1_company_vs_peer; inherited fields retain source-mart meaning.
q1_company_vs_peer,one formal company x available fiscal year,9,total_liabilities,DOUBLE,Total liabilities produced by q1_company_vs_peer; inherited fields retain source-mart meaning.
q1_company_vs_peer,one formal company x available fiscal year,10,total_equity,DOUBLE,Total equity produced by q1_company_vs_peer; inherited fields retain source-mart meaning.
q1_company_vs_peer,one formal company x available fiscal year,11,current_assets,DOUBLE,Current assets produced by q1_company_vs_peer; inherited fields retain source-mart meaning.
q1_company_vs_peer,one formal company x available fiscal year,12,current_liabilities,DOUBLE,Current liabilities produced by q1_company_vs_peer; inherited fields retain source-mart meaning.
q1_company_vs_peer,one formal company x available fiscal year,13,cash_and_equivalents,DOUBLE,Cash and equivalents produced by q1_company_vs_peer; inherited fields retain source-mart meaning.
q1_company_vs_peer,one formal company x available fiscal year,14,inventory,DOUBLE,Inventory produced by q1_company_vs_peer; inherited fields retain source-mart meaning.
q1_company_vs_peer,one formal company x available fiscal year,15,total_debt,DOUBLE,Total debt produced by q1_company_vs_peer; inherited fields retain source-mart meaning.
q1_company_vs_peer,one formal company x available fiscal year,16,operating_cash_flow,DOUBLE,Operating cash flow produced by q1_company_vs_peer; inherited fields retain source-mart meaning.
q1_company_vs_peer,one formal company x available fiscal year,17,capital_expenditure,DOUBLE,Capital expenditure produced by q1_company_vs_peer; inherited fields retain source-mart meaning.
q1_company_vs_peer,one formal company x available fiscal year,18,free_cash_flow,DOUBLE,Free cash flow produced by q1_company_vs_peer; inherited fields retain source-mart meaning.
q1_company_vs_peer,one formal company x available fiscal year,19,row_data_as_of,DATE,Row data as of produced by q1_company_vs_peer; inherited fields retain source-mart meaning.
q1_company_vs_peer,one formal company x available fiscal year,20,prior_fiscal_year,BIGINT,Prior consecutive fiscal-year fiscal year.
q1_company_vs_peer,one formal company x available fiscal year,21,prior_total_assets,DOUBLE,Prior consecutive fiscal-year total assets.
q1_company_vs_peer,one formal company x available fiscal year,22,prior_total_equity,DOUBLE,Prior consecutive fiscal-year total equity.
q1_company_vs_peer,one formal company x available fiscal year,23,prior_revenue,DOUBLE,Prior consecutive fiscal-year revenue.
q1_company_vs_peer,one formal company x available fiscal year,24,company_name,VARCHAR,Issuer display name from the frozen formal sample.
q1_company_vs_peer,one formal company x available fiscal year,25,formal_peer_group,VARCHAR,Gate1-v1.0 peer group used for descriptive benchmarks.
q1_company_vs_peer,one formal company x available fiscal year,26,status_group,VARCHAR,Status group produced by q1_company_vs_peer; inherited fields retain source-mart meaning.
q1_company_vs_peer,one formal company x available fiscal year,27,formal_sample_status,VARCHAR,Formal sample status produced by q1_company_vs_peer; inherited fields retain source-mart meaning.
q1_company_vs_peer,one formal company x available fiscal year,28,comparability_note,VARCHAR,Comparability note produced by q1_company_vs_peer; inherited fields retain source-mart meaning.
q1_company_vs_peer,one formal company x available fiscal year,29,data_as_of,DATE,Data as of produced by q1_company_vs_peer; inherited fields retain source-mart meaning.
q1_company_vs_peer,one formal company x available fiscal year,30,average_assets,DOUBLE,Mean of consecutive prior and current fiscal-year-end total assets.
q1_company_vs_peer,one formal company x available fiscal year,31,average_equity,DOUBLE,Mean of consecutive prior and current fiscal-year-end total equity.
q1_company_vs_peer,one formal company x available fiscal year,32,net_margin,DOUBLE,Net income divided by revenue with zero-denominator protection.
q1_company_vs_peer,one formal company x available fiscal year,33,operating_margin,DOUBLE,Operating margin produced by q1_company_vs_peer; inherited fields retain source-mart meaning.
q1_company_vs_peer,one formal company x available fiscal year,34,current_ratio,DOUBLE,Current ratio produced by q1_company_vs_peer; inherited fields retain source-mart meaning.
q1_company_vs_peer,one formal company x available fiscal year,35,quick_ratio,DOUBLE,Quick ratio produced by q1_company_vs_peer; inherited fields retain source-mart meaning.
q1_company_vs_peer,one formal company x available fiscal year,36,cash_ratio,DOUBLE,Cash ratio produced by q1_company_vs_peer; inherited fields retain source-mart meaning.
q1_company_vs_peer,one formal company x available fiscal year,37,liabilities_to_assets,DOUBLE,Liabilities to assets produced by q1_company_vs_peer; inherited fields retain source-mart meaning.
q1_company_vs_peer,one formal company x available fiscal year,38,total_debt_to_assets,DOUBLE,Total debt to assets produced by q1_company_vs_peer; inherited fields retain source-mart meaning.
q1_company_vs_peer,one formal company x available fiscal year,39,operating_cash_flow_margin,DOUBLE,Operating cash flow margin produced by q1_company_vs_peer; inherited fields retain source-mart meaning.
q1_company_vs_peer,one formal company x available fiscal year,40,free_cash_flow_margin,DOUBLE,Free cash flow margin produced by q1_company_vs_peer; inherited fields retain source-mart meaning.
q1_company_vs_peer,one formal company x available fiscal year,41,capital_expenditure_intensity,DOUBLE,Capital expenditure intensity produced by q1_company_vs_peer; inherited fields retain source-mart meaning.
q1_company_vs_peer,one formal company x available fiscal year,42,free_cash_flow_conversion,DOUBLE,Free cash flow conversion produced by q1_company_vs_peer; inherited fields retain source-mart meaning.
q1_company_vs_peer,one formal company x available fiscal year,43,revenue_growth,DOUBLE,Revenue growth produced by q1_company_vs_peer; inherited fields retain source-mart meaning.
q1_company_vs_peer,one formal company x available fiscal year,44,average_balance_available_flag,BOOLEAN,Boolean indicator for average balance available.
q1_company_vs_peer,one formal company x available fiscal year,45,asset_turnover,DOUBLE,Revenue divided by average assets with zero-denominator protection.
q1_company_vs_peer,one formal company x available fiscal year,46,equity_multiplier,DOUBLE,Average assets divided by positive average equity.
q1_company_vs_peer,one formal company x available fiscal year,47,roe,DOUBLE,Net income divided by positive average equity; otherwise null.
q1_company_vs_peer,one formal company x available fiscal year,48,roa,DOUBLE,Roa produced by q1_company_vs_peer; inherited fields retain source-mart meaning.
q1_company_vs_peer,one formal company x available fiscal year,49,positive_average_equity_flag,BOOLEAN,Boolean indicator for positive average equity.
q1_company_vs_peer,one formal company x available fiscal year,50,dupont_roe,DOUBLE,Dupont roe produced by q1_company_vs_peer; inherited fields retain source-mart meaning.
q1_company_vs_peer,one formal company x available fiscal year,51,dupont_valid_flag,BOOLEAN,Boolean indicator for dupont valid.
q1_company_vs_peer,one formal company x available fiscal year,52,roe_valid_flag,BOOLEAN,Boolean indicator for roe valid.
q1_company_vs_peer,one formal company x available fiscal year,53,near_zero_average_equity_flag,BOOLEAN,Boolean indicator for near zero average equity.
q1_company_vs_peer,one formal company x available fiscal year,54,dupont_identity_gap,DOUBLE,ROE minus the product of the three DuPont components.
q1_company_vs_peer,one formal company x available fiscal year,55,dupont_validity_reason,VARCHAR,Dupont validity reason produced by q1_company_vs_peer; inherited fields retain source-mart meaning.
q1_company_vs_peer,one formal company x available fiscal year,56,metric_flag_count,BIGINT,Count of metric flag at the table grain.
q1_company_vs_peer,one formal company x available fiscal year,57,unresolved_conflict_count,BIGINT,Count of unresolved conflict at the table grain.
q1_company_vs_peer,one formal company x available fiscal year,58,quality_warning_count,BIGINT,Count of quality warning at the table grain.
q1_company_vs_peer,one formal company x available fiscal year,59,quality_warnings,VARCHAR,Semicolon-delimited automated metric and comparability warnings.
q1_company_vs_peer,one formal company x available fiscal year,60,source_selection_method,VARCHAR,Deterministic latest-valid or derived-component selection method.
q1_company_vs_peer,one formal company x available fiscal year,61,source_selection_note,VARCHAR,Human-readable explanation of the source/version choice.
q1_company_vs_peer,one formal company x available fiscal year,62,peer_company_count,BIGINT,Count of peer company at the table grain.
q1_company_vs_peer,one formal company x available fiscal year,63,valid_peer_roe_count,BIGINT,Count of valid peer roe at the table grain.
q1_company_vs_peer,one formal company x available fiscal year,64,peer_median_roe,DOUBLE,Valid-observation peer-year median roe.
q1_company_vs_peer,one formal company x available fiscal year,65,peer_q25_roe,DOUBLE,Valid-observation peer-year 25th percentile roe.
q1_company_vs_peer,one formal company x available fiscal year,66,peer_q75_roe,DOUBLE,Valid-observation peer-year 75th percentile roe.
q1_company_vs_peer,one formal company x available fiscal year,67,peer_median_net_margin,DOUBLE,Valid-observation peer-year median net margin.
